stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
30,40,-0.0872665,-0.814493,0.174533,-0.174533,-0.104444,-0.797492,0.165006,-0.178863,1.71772,-0.47601,0.142972,0.064982
