stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
30,25,-1.22173,0.814493,-0.174533,-0.174533,-1.2045,0.79734,-0.177061,-0.14802,-1.72283,0.480281,0.0379225,-0.397699
